Month,Actuals,Forecast,Forecast_Lower,Forecast_Upper
2023-01-01,4355098.36,4050958.8775753262,2220500.4212608878,5895389.31917648
2023-02-01,3870398.79,4187041.244468157,2631863.578980842,5718660.754387387
2023-03-01,5554164.609999999,5473361.742497729,3784339.701683011,7147888.56837128
2023-04-01,4117036.4,4147342.5698236455,2613211.4146577483,5685017.553158928
2023-05-01,4799897.33,4794748.27780649,2998667.1232843325,6579934.339338578
2023-06-01,5084313.399999999,4839328.666681096,3171032.5141155096,6520265.807919386
2023-07-01,5095355.1,4752302.885797515,2994879.529140655,6507316.543360682
2023-08-01,4525312.93,4496730.233569665,2742686.8148744237,6253176.760826695
2023-09-01,4606823.81,4926899.475030274,3227154.0569692045,6585084.996971564
2023-10-01,5665940.31,6090326.032670419,4304971.299067484,7857524.65639534
2023-11-01,6323201.84,7141768.735958377,5031383.887428002,9278403.779059758
2023-12-01,5404131.13,5304005.460522418,3475528.108992377,7128374.349148126
2024-01-01,4077764.9,4285254.965654156,2338095.8285530857,6276724.214549565
2024-02-01,4963421.88,4514749.2236462785,2650007.266283053,6346645.128509744
2024-03-01,5311815.56,5237353.152489391,3400671.357585978,7086721.071494807
2024-04-01,4686159.08,4578784.960101117,2764541.439569679,6410274.7041569725
2024-05-01,5196278.96,4930203.110716865,3008723.3131949543,6846231.183749494
2024-06-01,4709589.67,4691690.303070598,2717687.9193337904,6677730.567988302
2024-07-01,4954914.85,5384579.468085677,3233861.869541561,7521532.903689507
2024-08-01,4146619.94,4290723.569642972,2395142.60686481,6190145.487954268
2024-09-01,4980358.24,4938092.324082347,3115850.745246294,6773640.22371518
2024-10-01,6875461.04,6592520.907368384,4596852.546013291,8586478.877952104
2024-11-01,7407624.0,6247145.974640863,4405701.96211471,8054279.906996247
2024-12-01,5713435.93,5527676.474422565,3476159.6274163295,7596903.260482218
2025-01-01,3769088.43,4295510.461390209,2315578.698013698,6280188.182087137
2025-02-01,4087264.4,4294867.503062149,2525665.1110571316,6047401.1703456
2025-03-01,5482141.399999999,5273859.141882409,3361448.958247144,7171363.419872808
2025-04-01,4511468.6899999995,4645422.6381760705,2740813.8166675013,6557808.669396963
2025-05-01,4344329.84,4631406.388738939,2815724.586004316,6453434.731657019
2025-06-01,4661457.899999999,4698336.448375589,2796433.2741757557,6642333.556688375
2025-07-01,0.0,5597474.057373129,3306036.6371266,7894402.415371331
2025-08-01,0.0,4447284.832554748,2196799.97117612,6752262.364083975
2025-09-01,0.0,5561805.775229707,3361639.281795145,7746728.864108688
2025-10-01,0.0,7138868.047865062,4884414.9176805075,9399538.782137586
2025-11-01,0.0,6951239.951298877,4728239.2076178305,9124397.117444577
2025-12-01,0.0,6227561.408899845,3957174.3682339955,8524186.40790755
